HOG	OG	Gene Tree Parent Clade	alpc	cambac	camdro	camfer	guanc	llama	vicgn
N3.HOG0008028	OG0007337	n0	rna-XM_006205861.2	rna-XM_010970477.1	rna-XM_031462827.1	rna-XM_032493384.1	rna-XM_006205861.2	rna-XM_006205861.2	rna-XM_006205861.2
N3.HOG0008029	OG0007338	n0	rna-XM_006205862.3	rna-XM_010970476.1	rna-XM_010994177.2	rna-XM_032493385.1	rna-XM_006205862.3	rna-XM_006205862.3	rna-XM_006205862.3
N3.HOG0008030	OG0007339	n0	rna-XM_031683146.1	rna-XM_010970564.1	rna-XM_031462830.1	rna-XM_032493388.1	rna-XM_031683141.1	rna-XM_031683141.1	rna-XM_031683146.1
N3.HOG0008031	OG0007340	n0	rna-XM_006205864.2	rna-XM_010970474.1	rna-XM_010996467.2	rna-XM_014551256.2	rna-XM_006205864.2	rna-XM_006205864.2	rna-XM_006205864.2
N3.HOG0008032	OG0007341	n0	rna-XM_031683152.1	rna-XM_010970473.1	rna-XM_031462841.1	rna-XM_032493404.1	rna-XM_006205866.3	rna-XM_006205866.3	rna-XM_006205866.3
N3.HOG0008033	OG0007342	n0	rna-XM_015240622.2	rna-XM_010970471.1	rna-XM_010996463.2	rna-XM_032493407.1	rna-XM_015240622.2	rna-XM_015240622.2	rna-XM_015240622.2
N3.HOG0008034	OG0007343	n0	rna-XM_015240625.2	rna-XM_010970467.1	rna-XM_010996461.2	rna-XM_032493400.1	rna-XM_006205868.3	rna-XM_006205868.3	rna-XM_015240625.2
N3.HOG0008035	OG0007344	n0	rna-XM_031683156.1	rna-XM_010970466.1	rna-XM_031462846.1	rna-XM_032493410.1	rna-XM_006205870.3	rna-XM_006205870.3	rna-XM_031683156.1
N3.HOG0008036	OG0007345	n0	rna-XM_006205872.3	rna-XM_010970465.1	rna-XM_010996457.2	rna-XM_006193711.3	rna-XM_006205872.3	rna-XM_006205872.3	rna-XM_006205872.3
N3.HOG0008037	OG0007346	n0	rna-XM_015240630.2	rna-XM_010970464.1	rna-XM_031462858.1	rna-XM_014566864.2	rna-XM_006205873.3	rna-XM_006205873.3	rna-XM_015240630.2
N3.HOG0008038	OG0007347	n0	rna-XM_015240581.2	rna-XM_010970463.1	rna-XM_031462190.1	rna-XM_032493426.1	rna-XM_015240581.2	rna-XM_015240581.2	rna-XM_015240581.2
N3.HOG0008039	OG0007348	n0	rna-XM_031683166.1	rna-XM_010970563.1	rna-XM_031462863.1	rna-XM_032493428.1	rna-XM_031683166.1	rna-XM_031683166.1	rna-XM_015240633.2
N3.HOG0008040	OG0007349	n0	rna-XM_015240637.2	rna-XM_010970562.1	rna-XM_010996453.2	rna-XM_032493435.1	rna-XM_015240637.2	rna-XM_015240637.2	rna-XM_015240637.2
N3.HOG0008041	OG0007350	n0	rna-XM_006205874.2	rna-XM_010970460.1	rna-XM_031462869.1	rna-XM_032493440.1	rna-XM_006205874.2	rna-XM_006205874.2	rna-XM_006205874.2
N3.HOG0008042	OG0007351	n0	rna-XM_006205875.3	rna-XM_010970561.1	rna-XM_031462875.1	rna-XM_032493436.1	rna-XM_006205875.3	rna-XM_006205875.3	rna-XM_006205875.3
N3.HOG0008043	OG0007352	n0	rna-XM_031683173.1	rna-XM_010970456.1	rna-XM_031462879.1	rna-XM_032493445.1	rna-XM_031683173.1	rna-XM_015240639.2	rna-XM_015240639.2
N3.HOG0008044	OG0007353	n0	rna-XM_031683175.1	rna-XM_010970453.1	rna-XM_031462883.1	rna-XM_032493452.1	rna-XM_031683174.1	rna-XM_031683174.1	rna-XM_031683175.1
N3.HOG0008045	OG0007354	n0	rna-XM_031683177.1	rna-XM_010970452.1	rna-XM_031462884.1	rna-XM_032493460.1	rna-XM_015240641.2	rna-XM_015240641.2	rna-XM_031683177.1
N3.HOG0008046	OG0007355	n0	rna-XM_006205881.3	rna-XM_010970451.1	rna-XM_010990043.2	rna-XM_006193700.3	rna-XM_006205881.3	rna-XM_006205881.3	rna-XM_006205881.3
N3.HOG0008047	OG0007356	n0	rna-XM_015240643.2	rna-XM_010970447.1	rna-XM_031462889.1	rna-XM_032493471.1	rna-XM_006205885.3	rna-XM_006205885.3	rna-XM_006205885.3
N3.HOG0008048	OG0007357	n0	rna-XM_006205886.2	rna-XM_010970446.1	rna-XM_031462892.1	rna-XM_032493457.1	rna-XM_006205886.2	rna-XM_006205886.2	rna-XM_006205886.2
N3.HOG0008049	OG0007358	n0	rna-XM_006205887.3	rna-XM_010970445.1	rna-XM_031462901.1	rna-XM_032493467.1	rna-XM_006205887.3	rna-XM_006205887.3	rna-XM_006205887.3
N3.HOG0008050	OG0007359	n0	rna-XM_015240648.2		rna-XM_031462898.1	rna-XM_032493464.1	rna-XM_015240648.2	rna-XM_015240648.2	rna-XM_031683180.1
N3.HOG0008051	OG0007360	n0	rna-XM_006205891.3	rna-XM_010970442.1	rna-XM_010990028.2	rna-XM_006193691.3	rna-XM_006205891.3	rna-XM_006205891.3	rna-XM_006205891.3
N3.HOG0008052	OG0007361	n0	rna-XM_006205892.2	rna-XM_010970440.1	rna-XM_031462918.1	rna-XM_032493459.1	rna-XM_006205892.2	rna-XM_006205892.2	rna-XM_006205892.2
N3.HOG0008053	OG0007362	n0	rna-XM_006220380.3	rna-XM_010970439.1	rna-XM_031462920.1	rna-XM_014568250.2	rna-XM_006220380.3	rna-XM_006220380.3	rna-XM_006220380.3
N3.HOG0008054	OG0007363	n0	rna-XM_006205894.3	rna-XM_010970438.1	rna-XM_010990023.2	rna-XM_006195317.3	rna-XM_006205894.3	rna-XM_006205894.3	rna-XM_006205894.3
N3.HOG0008055	OG0007364	n0	rna-XM_006205898.2	rna-XM_010962804.1	rna-XM_010990021.2	rna-XM_006186042.2	rna-XM_006205898.2	rna-XM_006205898.2	rna-XM_006205897.3
N3.HOG0008056	OG0007365	n0	rna-XM_006205902.3	rna-XM_010962800.1	rna-XM_010990018.1	rna-XM_006186045.3	rna-XM_006205902.3	rna-XM_006205902.3	rna-XM_006205902.3
N3.HOG0008057	OG0007366	n0	rna-XM_006205901.3	rna-XM_010962801.1	rna-XM_010990017.2	rna-XM_032493491.1	rna-XM_006205901.3	rna-XM_006205901.3	rna-XM_031683189.1
N3.HOG0008058	OG0007367	n0	rna-XM_006205903.3	rna-XM_010962799.1	rna-XM_010990015.2	rna-XM_006186046.3	rna-XM_006205903.3	rna-XM_006205903.3	rna-XM_006205903.3
N3.HOG0008059	OG0007368	n0	rna-XM_015240591.2	rna-XM_010962798.1	rna-XM_031462927.1	rna-XM_014560375.2	rna-XM_015240591.2	rna-XM_015240591.2	rna-XM_006205904.2
N3.HOG0008060	OG0007369	n0	rna-XM_006205905.3	rna-XM_010962796.1	rna-XM_031462923.1	rna-XM_032493496.1	rna-XM_006205905.3	rna-XM_006205905.3	rna-XM_006205905.3
N3.HOG0008061	OG0007370	n0	rna-XM_031683192.1	rna-XM_010962794.1	rna-XM_031462928.1	rna-XM_032493499.1	rna-XM_031683192.1	rna-XM_031683192.1	rna-XM_031683192.1
N3.HOG0008062	OG0007371	n0	rna-XM_031683196.1	rna-XM_010962792.1	rna-XM_031462930.1	rna-XM_006186051.2	rna-XM_031683196.1	rna-XM_031683196.1	rna-XM_031683196.1
N3.HOG0008063	OG0007372	n0	rna-XM_006214380.3	rna-XM_010962793.1	rna-XM_031462929.1	rna-XM_032493500.1	rna-XM_006214380.3	rna-XM_006214380.3	rna-XM_006214380.3
N3.HOG0008064	OG0007373	n0	rna-XM_031682870.1	rna-XM_010962786.1	rna-XM_031462935.1	rna-XM_032493517.1	rna-XM_031682870.1	rna-XM_031682870.1	rna-XM_031682870.1
N3.HOG0008065	OG0007374	n0	rna-XM_006214376.3	rna-XM_010962783.1	rna-XM_010990005.2	rna-XM_006186058.3	rna-XM_006214376.3	rna-XM_006214376.3	rna-XM_006214376.3
N3.HOG0008066	OG0007375	n0	rna-XM_031683204.1	rna-XM_010962781.1	rna-XM_031462949.1	rna-XM_032493532.1	rna-XM_031683204.1	rna-XM_031683204.1	rna-XM_031683204.1
N3.HOG0008067	OG0007376	n0	rna-XM_006214368.3	rna-XM_010962780.1	rna-XM_031462958.1	rna-XM_032493546.1	rna-XM_006214368.3	rna-XM_006214368.3	rna-XM_006214368.3
N3.HOG0008068	OG0007377	n0	rna-XM_006220339.3	rna-XM_010962779.1	rna-XM_031462960.1	rna-XM_032493549.1	rna-XM_006220339.3	rna-XM_006220339.3	rna-XM_006220339.3
N3.HOG0008069	OG0007378	n0	rna-XM_006214366.3	rna-XM_010962778.1	rna-XM_010989999.2	rna-XM_006193335.3	rna-XM_006214366.3	rna-XM_006214366.3	rna-XM_006214366.3
N3.HOG0008070	OG0007379	n0	rna-XM_031683213.1	rna-XM_010962777.1	rna-XM_010989998.2	rna-XM_032493553.1	rna-XM_031683213.1	rna-XM_031683213.1	rna-XM_006214364.3
N3.HOG0008071	OG0007380	n0	rna-XM_015247984.2	rna-XM_010962775.1	rna-XM_010989997.2	rna-XM_006193333.3	rna-XM_015247984.2	rna-XM_015247984.2	rna-XM_006214363.3
N3.HOG0008072	OG0007381	n0	rna-XM_031683217.1	rna-XM_010962773.1	rna-XM_031462967.1	rna-XM_032493559.1	rna-XM_031683216.1	rna-XM_031683216.1	rna-XM_031683216.1
N3.HOG0008073	OG0007382	n0	rna-XM_015247989.2	rna-XM_010962771.1	rna-XM_031462968.1	rna-XM_032493560.1	rna-XM_015247989.2	rna-XM_015247989.2	rna-XM_015247989.2
N3.HOG0008074	OG0007383	n0	rna-XM_031683220.1	rna-XM_010962769.1	rna-XM_031462976.1	rna-XM_032493572.1	rna-XM_031683220.1	rna-XM_031683220.1	rna-XM_006214356.3
N3.HOG0008075	OG0007384	n0	rna-XM_006214355.3	rna-XM_010962768.1	rna-XM_010989987.2	rna-XM_006186551.3	rna-XM_006214354.2	rna-XM_006214354.2	rna-XM_006214355.3
N3.HOG0008076	OG0007385	n0	rna-XM_006214352.3	rna-XM_010962766.1	rna-XM_010989986.2	rna-XM_032493585.1	rna-XM_006214350.3	rna-XM_006214350.3	rna-XM_006214350.3
N3.HOG0008077	OG0007386	n0	rna-XM_006197928.3	rna-XM_010962759.1	rna-XM_010989978.2	rna-XM_032493587.1	rna-XM_006197928.3	rna-XM_006197928.3	rna-XM_006197928.3
N3.HOG0008078	OG0007387	n0	rna-XM_006197927.2	rna-XM_010962757.1	rna-XM_031462989.1	rna-XM_032493589.1	rna-XM_006197927.2	rna-XM_006197927.2	rna-XM_006197927.2
N3.HOG0008079	OG0007388	n0	rna-XM_031683241.1	rna-XM_010962756.1	rna-XM_031462990.1	rna-XM_032493591.1	rna-XM_006197926.3	rna-XM_006197926.3	rna-XM_006197926.3
N3.HOG0008080	OG0007389	n0	rna-XM_006197924.3	rna-XM_010962755.1	rna-XM_010989974.2	rna-XM_006187464.2	rna-XM_006197924.3	rna-XM_006197924.3	rna-XM_006197924.3
N3.HOG0008081	OG0007390	n0	rna-XM_031683243.1	rna-XM_010962811.1	rna-XM_031462992.1	rna-XM_032493592.1	rna-XM_006197920.2	rna-XM_006197920.2	rna-XM_006197920.2
N3.HOG0008082	OG0007391	n0	rna-XM_006197919.3	rna-XM_010962754.1	rna-XM_010989972.2	rna-XM_006187462.3	rna-XM_006197919.3	rna-XM_006197919.3	rna-XM_006197919.3
N3.HOG0008083	OG0007392	n0	rna-XM_031682873.1	rna-XM_010962810.1	rna-XM_031462193.1	rna-XM_032493815.1	rna-XM_031682873.1	rna-XM_031682873.1	rna-XM_031682873.1
N3.HOG0008084	OG0007393	n0	rna-XM_015248366.2	rna-XM_010962753.1	rna-XM_010989971.2	rna-XM_014561566.2	rna-XM_015248366.2	rna-XM_015248366.2	rna-XM_015248366.2
N3.HOG0008085	OG0007394	n0	rna-XM_031683247.1	rna-XM_010962751.1	rna-XM_031462997.1	rna-XM_032493596.1	rna-XM_006197915.2	rna-XM_006197915.2	rna-XM_006197915.2
N3.HOG0008086	OG0007395	n0	rna-XM_031683250.1	rna-XM_010962750.1	rna-XM_031462998.1	rna-XM_032493598.1	rna-XM_031683250.1	rna-XM_031683250.1	rna-XM_031683250.1
N3.HOG0008087	OG0007396	n0	rna-XM_006197911.3	rna-XM_010962748.1	rna-XM_010989966.2	rna-XM_006187457.3	rna-XM_006197911.3	rna-XM_006197911.3	rna-XM_006197911.3
N3.HOG0008088	OG0007397	n0	rna-XM_015248294.2	rna-XM_010962735.1	rna-XM_010989961.2	rna-XM_006179870.3	rna-XM_015248294.2	rna-XM_015248294.2	rna-XM_015248294.2
N3.HOG0008089	OG0007398	n0	rna-XM_006197908.3	rna-XM_010962736.1	rna-XM_031463007.1	rna-XM_032493606.1	rna-XM_006197908.3	rna-XM_006197908.3	rna-XM_006197908.3
N3.HOG0008090	OG0007399	n0	rna-XM_015248270.2	rna-XM_010962724.1	rna-XM_031463015.1	rna-XM_032493618.1	rna-XM_015248270.2	rna-XM_015248270.2	rna-XM_015248270.2
N3.HOG0008091	OG0007400	n0	rna-XM_031683255.1	rna-XM_010962727.1	rna-XM_010989950.2	rna-XM_006179875.3	rna-XM_031683255.1	rna-XM_031683255.1	rna-XM_031683255.1
N3.HOG0008092	OG0007401	n0	rna-XM_006197949.2	rna-XM_010962730.1	rna-XM_010989952.2	rna-XM_032493616.1	rna-XM_006197949.2	rna-XM_006197949.2	rna-XM_006197949.2
N3.HOG0008093	OG0007402	n0	rna-XM_015248211.2	rna-XM_010962722.1	rna-XM_010989948.2	rna-XM_014567390.2	rna-XM_015248200.2	rna-XM_015248200.2	rna-XM_015248200.2
N3.HOG0008094	OG0007403	n0	rna-XM_031683267.1	rna-XM_010962716.1	rna-XM_031463029.1	rna-XM_032493634.1	rna-XM_031683267.1	rna-XM_031683267.1	rna-XM_031683267.1
N3.HOG0008095	OG0007404	n0	rna-XM_031682874.1	rna-XM_010949435.1	rna-XM_010983858.2	rna-XM_032493639.1	rna-XM_031682874.1	rna-XM_031682874.1	rna-XM_031682874.1
N3.HOG0008096	OG0007405	n0	rna-XM_006197893.3	rna-XM_010949439.1	rna-XM_010983866.2	rna-XM_006180773.3	rna-XM_006197893.3	rna-XM_006197893.3	rna-XM_006197893.3
N3.HOG0008097	OG0007406	n0	rna-XM_015248156.2	rna-XM_010949440.1	rna-XM_010983862.2	rna-XM_014555917.2	rna-XM_006197892.3	rna-XM_006197892.3	rna-XM_006197892.3
N3.HOG0008098	OG0007407	n0	rna-XM_031683282.1	rna-XM_010949443.1	rna-XM_010983861.2	rna-XM_006180776.2	rna-XM_031683282.1	rna-XM_031683282.1	rna-XM_031683282.1
N3.HOG0008099	OG0007408	n0	rna-XM_006197890.2	rna-XM_010949445.1	rna-XM_010983860.2	rna-XM_006180777.2	rna-XM_006197890.2	rna-XM_006197890.2	rna-XM_006197890.2
N3.HOG0008100	OG0007409	n0	rna-XM_006197889.2	rna-XM_010952461.1	rna-XM_031463037.1	rna-XM_032493643.1	rna-XM_006197886.3	rna-XM_006197886.3	rna-XM_006197886.3
N3.HOG0008101	OG0007410	n0	rna-XM_006197884.3	rna-XM_010952457.1	rna-XM_010986954.2	rna-XM_006186966.3	rna-XM_006197884.3	rna-XM_006197884.3	rna-XM_006197884.3
N3.HOG0008102	OG0007411	n0	rna-XM_006197883.3	rna-XM_010952462.1	rna-XM_010986957.2	rna-XM_032493649.1	rna-XM_006197883.3	rna-XM_015248071.2	rna-XM_006197883.3
N3.HOG0008103	OG0007412	n0	rna-XM_006197881.3	rna-XM_010952456.1	rna-XM_031463047.1	rna-XM_006185505.3	rna-XM_006197881.3	rna-XM_006197881.3	rna-XM_006197881.3
N3.HOG0008104	OG0007413	n0	rna-XM_031683286.1	rna-XM_010952455.1	rna-XM_010986959.2	rna-XM_032493651.1	rna-XM_031683286.1	rna-XM_015248054.2	rna-XM_031683286.1
N3.HOG0008105	OG0007414	n0	rna-XM_031683292.1	rna-XM_010952454.1	rna-XM_031463055.1	rna-XM_014559969.2	rna-XM_031683292.1	rna-XM_006197879.2	rna-XM_031683292.1
N3.HOG0008106	OG0007415	n0	rna-XM_031682846.1	rna-XM_010952453.1	rna-XM_031462229.1	rna-XM_032493854.1	rna-XM_006197877.2	rna-XM_031682846.1	rna-XM_006197877.2
N3.HOG0008107	OG0007416	n0	rna-XM_006197876.1	rna-XM_010958796.1	rna-XM_031463056.1	rna-XM_032493691.1	rna-XM_006197876.1	rna-XM_006197876.1	rna-XM_006197876.1
N3.HOG0008108	OG0007417	n0	rna-XM_015248037.2	rna-XM_010958798.1	rna-XM_010975085.2	rna-XM_014565767.2	rna-XM_015248037.2	rna-XM_006197874.2	rna-XM_015248037.2
N3.HOG0008109	OG0007418	n0	rna-XM_006197873.2	rna-XM_010958799.1	rna-XM_010975086.2	rna-XM_032493695.1	rna-XM_006197873.2	rna-XM_006197873.2	rna-XM_006197873.2
N3.HOG0008110	OG0007419	n0	rna-XM_031683356.1	rna-XM_010958801.1	rna-XM_010975087.2	rna-XM_032493693.1	rna-XM_031683356.1	rna-XM_031683356.1	rna-XM_031683356.1
N3.HOG0008111	OG0007420	n0	rna-XM_015248030.2	rna-XM_010958804.1	rna-XM_010975091.2	rna-XM_032493694.1	rna-XM_015248030.2	rna-XM_015248030.2	rna-XM_015248030.2
N3.HOG0008112	OG0007421	n0	rna-XM_006197870.3	rna-XM_010958805.1	rna-XM_010975092.2	rna-XM_032493821.1	rna-XM_006197870.3	rna-XM_006197870.3	rna-XM_006197870.3
N3.HOG0008113	OG0007422	n0	rna-XM_006197869.3	rna-XM_010958809.1	rna-XM_031463061.1	rna-XM_032493828.1	rna-XM_006197869.3	rna-XM_006197869.3	rna-XM_006197869.3
N3.HOG0008114	OG0007423	n0	rna-XM_031683300.1	rna-XM_010958810.1	rna-XM_031463067.1	rna-XM_006189282.3	rna-XM_031683300.1	rna-XM_006197860.3	rna-XM_031683300.1
N3.HOG0008115	OG0007424	n0	rna-XM_031683358.1	rna-XM_010958811.1	rna-XM_010975095.2	rna-XM_006189289.3	rna-XM_031683358.1	rna-XM_031683358.1	rna-XM_031683358.1
N3.HOG0008116	OG0007425	n0	rna-XM_031683305.1	rna-XM_010958812.1	rna-XM_031463074.1	rna-XM_032493832.1	rna-XM_031683305.1	rna-XM_015247994.2	rna-XM_031683305.1
N3.HOG0008117	OG0007426	n0	rna-XM_006197856.2	rna-XM_010958817.1	rna-XM_010975100.2	rna-XM_006189290.2	rna-XM_006197856.2	rna-XM_006197856.2	rna-XM_006197856.2
N3.HOG0008118	OG0007427	n0	rna-XM_006197855.3	rna-XM_010958818.1	rna-XM_010975101.2	rna-XM_032493704.1	rna-XM_006197855.3	rna-XM_006197855.3	rna-XM_006197855.3
N3.HOG0008119	OG0007428	n0	rna-XM_031683359.1	rna-XM_010958819.1	rna-XM_031463085.1	rna-XM_032493701.1	rna-XM_031683359.1	rna-XM_031683359.1	rna-XM_031683359.1
N3.HOG0008120	OG0007429	n0	rna-XM_031683360.1	rna-XM_010958820.1	rna-XM_031462195.1	rna-XM_032493706.1	rna-XM_031683360.1	rna-XM_031683360.1	rna-XM_031683360.1
N3.HOG0008121	OG0007430	n0	rna-XM_015247986.2	rna-XM_010958824.1	rna-XM_010975105.2	rna-XM_014554548.2	rna-XM_015247986.2	rna-XM_006197853.3	rna-XM_015247986.2
N3.HOG0008122	OG0007431	n0	rna-XM_031683361.1	rna-XM_010958875.1	rna-XM_031463089.1	rna-XM_032493711.1	rna-XM_031683361.1	rna-XM_031683361.1	rna-XM_031683361.1
N3.HOG0008123	OG0007432	n0	rna-XM_006197851.3	rna-XM_010958830.1	rna-XM_031463091.1	rna-XM_032493716.1	rna-XM_006197850.3	rna-XM_006197850.3	rna-XM_006197850.3
N3.HOG0008124	OG0007433	n0	rna-XM_031683362.1	rna-XM_010958832.1	rna-XM_031463094.1	rna-XM_006179097.2	rna-XM_031683362.1	rna-XM_031683362.1	rna-XM_031683362.1
N3.HOG0008125	OG0007434	n0	rna-XM_006197849.3	rna-XM_010958833.1	rna-XM_010988186.2	rna-XM_032493718.1	rna-XM_006197849.3	rna-XM_006197849.3	rna-XM_006197849.3
N3.HOG0008126	OG0007435	n0	rna-XM_006197848.2	rna-XM_010958835.1	rna-XM_031463106.1	rna-XM_032493720.1	rna-XM_006197848.2	rna-XM_006197848.2	rna-XM_006197848.2
N3.HOG0008127	OG0007436	n0	rna-XM_031683363.1	rna-XM_010958838.1	rna-XM_010988190.2	rna-XM_032493732.1	rna-XM_031683363.1	rna-XM_031683363.1	rna-XM_031683363.1
N3.HOG0008128	OG0007437	n0	rna-XM_015247935.2	rna-XM_010958846.1	rna-XM_031463101.1	rna-XM_032493725.1	rna-XM_015247935.2	rna-XM_015247935.2	rna-XM_015247935.2
N3.HOG0008129	OG0007438	n0	rna-XM_006197845.3	rna-XM_010958849.1	rna-XM_010988203.2	rna-XM_006191093.3	rna-XM_006197845.3	rna-XM_006197845.3	rna-XM_006197845.3
N3.HOG0008130	OG0007439	n0	rna-XM_031683321.1	rna-XM_010958877.1	rna-XM_010988208.2	rna-XM_032493739.1	rna-XM_031683321.1	rna-XM_031683321.1	rna-XM_031683321.1
N3.HOG0008131	OG0007440	n0	rna-XM_006197839.3	rna-XM_010958851.1	rna-XM_010988209.2	rna-XM_006191098.3	rna-XM_006197839.3	rna-XM_006197839.3	rna-XM_006197839.3
N3.HOG0008132	OG0007441	n0	rna-XM_031683326.1	rna-XM_010958855.1	rna-XM_031463116.1	rna-XM_032493746.1	rna-XM_031683326.1	rna-XM_031683327.1	rna-XM_031683326.1
N3.HOG0008133	OG0007442	n0	rna-XM_006197836.3	rna-XM_010958856.1	rna-XM_010988212.2	rna-XM_032493740.1	rna-XM_006197836.3	rna-XM_006197836.3	rna-XM_006197836.3
N3.HOG0008134	OG0007443	n0	rna-XM_006197835.3	rna-XM_010958858.1	rna-XM_031463118.1	rna-XM_032493754.1	rna-XM_006197835.3	rna-XM_006197835.3	rna-XM_006197835.3
N3.HOG0008135	OG0007444	n0	rna-XM_006197935.3	rna-XM_010958880.1	rna-XM_031463119.1	rna-XM_006191101.3	rna-XM_006197935.3	rna-XM_006197935.3	rna-XM_006197935.3
N3.HOG0008136	OG0007445	n0	rna-XM_006197834.2	rna-XM_010958860.1	rna-XM_010988215.2	rna-XM_006191102.2	rna-XM_006197834.2	rna-XM_006197834.2	rna-XM_006197834.2
N3.HOG0008137	OG0007446	n0	rna-XM_006197832.2	rna-XM_010958861.1	rna-XM_010988217.2	rna-XM_006191103.3	rna-XM_006197832.2	rna-XM_006197832.2	rna-XM_006197832.2
N3.HOG0008138	OG0007447	n0	rna-XM_015247822.2	rna-XM_010958864.1	rna-XM_010988220.2	rna-XM_006191104.3	rna-XM_015247822.2	rna-XM_015247822.2	rna-XM_015247822.2
N3.HOG0008139	OG0007448	n0	rna-XM_006197830.3	rna-XM_010958865.1	rna-XM_010988221.2	rna-XM_006191105.3	rna-XM_006197830.3	rna-XM_006197830.3	rna-XM_006197830.3
N3.HOG0008140	OG0007449	n0	rna-XM_006197829.2	rna-XM_010958866.1	rna-XM_031463120.1	rna-XM_032493757.1	rna-XM_006197829.2	rna-XM_006197829.2	rna-XM_006197829.2
N3.HOG0008141	OG0007450	n0	rna-XM_031683365.1	rna-XM_010958881.1	rna-XM_031463123.1	rna-XM_032493761.1	rna-XM_031683365.1	rna-XM_031683365.1	rna-XM_031683365.1
N3.HOG0008142	OG0007451	n0	rna-XM_006197824.2	rna-XM_010958869.1	rna-XM_010986398.2	rna-XM_032493770.1	rna-XM_006197824.2	rna-XM_006197824.2	rna-XM_006197824.2
N3.HOG0008143	OG0007452	n0	rna-XM_031683333.1	rna-XM_010958872.1	rna-XM_010986395.2	rna-XM_032493774.1	rna-XM_031683333.1	rna-XM_015247767.2	rna-XM_031683333.1
N3.HOG0008144	OG0007453	n0	rna-XM_031683366.1	rna-XM_010950502.1	rna-XM_031463132.1	rna-XM_032493771.1	rna-XM_031683366.1	rna-XM_031683366.1	rna-XM_031683366.1
N3.HOG0008145	OG0007454	n0	rna-XM_031683338.1	rna-XM_010950501.1	rna-XM_010986389.2	rna-XM_032493783.1	rna-XM_015247756.2	rna-XM_031683338.1	rna-XM_015247756.2
N3.HOG0008146	OG0007455	n0	rna-XM_031683340.1	rna-XM_010950499.1	rna-XM_031463134.1	rna-XM_032493788.1	rna-XM_031683340.1	rna-XM_031683340.1	rna-XM_031683340.1
N3.HOG0008147	OG0007456	n0	rna-XM_006197818.3	rna-XM_010950498.1	rna-XM_010986387.2	rna-XM_006179139.3	rna-XM_006197818.3	rna-XM_006197818.3	rna-XM_006197818.3
N3.HOG0008148	OG0007457	n0	rna-XM_006197817.3	rna-XM_010950497.1	rna-XM_031463140.1	rna-XM_032493779.1	rna-XM_006197817.3	rna-XM_006197817.3	rna-XM_006197817.3
N3.HOG0008149	OG0007458	n0	rna-XM_015247738.2	rna-XM_010950496.1	rna-XM_031463145.1	rna-XM_032493787.1	rna-XM_015247738.2	rna-XM_015247738.2	rna-XM_015247738.2
N3.HOG0008150	OG0007459	n0	rna-XM_006197815.2	rna-XM_010950494.1	rna-XM_010986383.2	rna-XM_006191927.3	rna-XM_006197815.2	rna-XM_006197815.2	rna-XM_006197815.2
N3.HOG0008151	OG0007460	n0	rna-XM_015241567.2	rna-XM_010952275.1	rna-XM_031463153.1	rna-XM_032492096.1	rna-XM_015241567.2	rna-XM_015241567.2	rna-XM_015241567.2
N3.HOG0008152	OG0007461	n0	rna-XM_006207024.3	rna-XM_010946095.1	rna-XM_010989915.2	rna-XM_006191589.3	rna-XM_006207024.3	rna-XM_006207024.3	rna-XM_006207024.3
N3.HOG0008153	OG0007462	n0	rna-XM_015241570.2	rna-XM_010946069.1	rna-XM_031463158.1	rna-XM_032492104.1	rna-XM_015241570.2	rna-XM_006207026.3	rna-XM_006207026.3
N3.HOG0008154	OG0007463	n0	rna-XM_006207028.3	rna-XM_010946133.1	rna-XM_010989919.2	rna-XM_032492109.1	rna-XM_006207028.3	rna-XM_006207028.3	rna-XM_006207028.3
N3.HOG0008155	OG0007464	n0	rna-XM_015241575.2	rna-XM_010946058.1	rna-XM_031463164.1	rna-XM_014558524.2	rna-XM_015241575.2	rna-XM_015241574.2	rna-XM_015241574.2
N3.HOG0008156	OG0007465	n0	rna-XM_006207031.3	rna-XM_010946053.1	rna-XM_031463165.1	rna-XM_006183868.3	rna-XM_006207031.3	rna-XM_006207031.3	rna-XM_006207031.3
N3.HOG0008157	OG0007466	n0	rna-XM_031683396.1	rna-XM_010963907.1	rna-XM_031463669.1	rna-XM_006179860.2	rna-XM_031683396.1	rna-XM_031683396.1	rna-XM_031683396.1
N3.HOG0008158	OG0007467	n0	rna-XM_006218599.2	rna-XM_010963824.1	rna-XM_010976838.2	rna-XM_006179858.3	rna-XM_006218599.2	rna-XM_006218599.2	rna-XM_006218599.2
N3.HOG0008159	OG0007468	n0	rna-XM_015251393.2	rna-XM_010963826.1	rna-XM_031463635.1	rna-XM_014555192.2	rna-XM_015251393.2	rna-XM_015251393.2	rna-XM_015251393.2
N3.HOG0008160	OG0007469	n0	rna-XM_031683397.1	rna-XM_010963830.1	rna-XM_031463672.1	rna-XM_014555189.2	rna-XM_015251420.2	rna-XM_015251420.2	rna-XM_015251420.2
N3.HOG0008161	OG0007470	n0	rna-XM_006218591.3	rna-XM_010963836.1	rna-XM_031463658.1	rna-XM_014555185.2	rna-XM_006218591.3	rna-XM_006218591.3	rna-XM_006218591.3
N3.HOG0008162	OG0007471	n0	rna-XM_006218595.2	rna-XM_010963835.1	rna-XM_010976844.2	rna-XM_006179854.2	rna-XM_006218595.2	rna-XM_006218595.2	rna-XM_006218595.2
