HOG,mi,Di,m0,D0,SYMBOL,GENENAME
N0.HOG0009198,956.2,0.9562,339.8,9.20858,TADA3,transcriptional adaptor 3
N0.HOG0009199,1788.9,3.04113,491.1,15.42054,BRPF1,bromodomain and PHD finger containing 1
N0.HOG0009200,1045.8,1.98702,355.2,6.07392,CPNE9,copine family member 9
N0.HOG0009201,1139.5,2.9627,318.5,14.5236,MTMR14,myotubularin related protein 14
N0.HOG0009202,632.9,3.03792,99.1,2.03155,LHFPL4,LHFPL tetraspan subfamily member 4
N0.HOG0009203,2660.5,6.11915,1107.5,22.26075,SETD5,SET domain containing 5
N0.HOG0009204,970.3,6.01586,328.7,6.08095,THUMPD3,THUMP domain containing 3
N0.HOG0009205,1629.7,11.57087,467.3,31.35583,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3
N0.HOG0009206,663.6,5.04336,245.4,6.11046,RAD18,RAD18 E3 ubiquitin protein ligase
N0.HOG0009208,123.3,2.02212,20.7,3.40515,SSUH2,ssu-2 homolog
N0.HOG0009209,717.5,1.0045,152.5,14.10625,LMCD1,LIM and cysteine rich domains 1
N0.HOG0009210,885.7,0.97427,305.3,14.6544,GRM7,glutamate metabotropic receptor 7
N0.HOG0009212,274.8,6.62268,91.2,3.62976,ARL8B,ADP ribosylation factor like GTPase 8B
N0.HOG0009214,4249.1,25.06969,1138.9,77.10353,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
N0.HOG0009216,1524.8,3.0496,623.2,11.15528,LRRN1,leucine rich repeat neuronal 1
N0.HOG0009217,498.8,1.9952,179.2,3.0464,CRBN,cereblon
N0.HOG0009218,938.7,4.97511,363.3,15.44025,TRNT1,tRNA nucleotidyl transferase 1
N0.HOG0009219,778.8,9.57924,301.2,10.8432,IL5RA,interleukin 5 receptor subunit alpha
N0.HOG0009220,715.1,4.00456,286.9,10.29971,CNTN4,contactin 4
N0.HOG0009221,1324.9,5.96205,469.1,4.03426,CNTN6,contactin 6
N0.HOG0009222,1975.8,15.8064,712.2,33.68706,CHL1,cell adhesion molecule L1 like
N0.HOG0009223,1877,9.0096,661,28.0264,CNTN3,contactin 3
N0.HOG0009224,743.8,4.01652,231.2,4.046,PPP4R2,protein phosphatase 4 regulatory subunit 2
N0.HOG0009226,797.9,10.13333,330.1,9.20979,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
N0.HOG0009228,1119.2,7.05096,464.8,6.0424,FOXP1,forkhead box P1
N0.HOG0009229,708.7,0.99218,287.3,12.49755,MITF,melanocyte inducing transcription factor
N0.HOG0009230,1962.7,25.12256,755.3,37.61394,FRMD4B,FERM domain containing 4B
N0.HOG0009233,2255.4,17.14104,894.6,15.2082,TMF1,TATA element modulatory factor 1
N0.HOG0009234,1099,7.0336,482,11.2306,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase
N0.HOG0009236,274.9,8.43943,106.1,15.23596,TAFA1,TAFA chemokine like family member 1
N0.HOG0009237,532.2,5.53488,187.8,10.94874,SUCLG2,succinate-CoA ligase GDP-forming subunit beta
N0.HOG0009239,2333.7,10.03491,906.3,35.25507,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
N0.HOG0009241,732.2,1.02508,287.8,13.5266,PSMD6,"proteasome 26S subunit, non-ATPase 6"
N0.HOG0009242,1316.9,3.02887,561.1,14.30805,ATXN7,ataxin 7
N0.HOG0009244,2231.3,10.04085,837.7,28.81688,CADPS,calcium dependent secretion activator
N0.HOG0009247,1316.4,1.9746,408.6,15.44508,PTPRG,protein tyrosine phosphatase receptor type G
N0.HOG0009249,1020,8.058,390,5.031,CFAP20DC,CFAP20 domain containing
N0.HOG0009250,496.1,11.70796,148.9,7.84703,FAM3D,FAM3 metabolism regulating signaling molecule D
N0.HOG0009251,284.3,1.84795,81.7,6.56051,FAM107A,family with sequence similarity 107 member A
N0.HOG0009252,1017.9,126.2196,320.1,91.74066,ACOX2,acyl-CoA oxidase 2
N0.HOG0009256,648.2,81.86766,218.8,44.78836,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase"
N0.HOG0009257,619.6,3.03604,202.4,2.00376,DNASE1L3,deoxyribonuclease 1 like 3
N0.HOG0009258,4374.5,10.4988,1526.5,76.9356,FLNB,filamin B
N0.HOG0009259,488.2,26.80218,195.8,11.748,SLMAP,sarcolemma associated protein
N0.HOG0009260,764.9,1.98874,330.1,5.05053,DENND6A,DENN domain containing 6A
N0.HOG0009262,1102.4,8.04752,388.6,8.1606,PDE12,phosphodiesterase 12
N0.HOG0009263,6138.1,48.49099,2291.9,67.38186,DNAH12,dynein axonemal heavy chain 12
N0.HOG0009264,1210.6,2.05802,541.4,5.03502,ASB14,ankyrin repeat and SOCS box containing 14
N0.HOG0009265,1383.5,0.96845,521.5,5.05855,APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
N0.HOG0009266,344.6,18.953,135.4,12.51096,HESX1,HESX homeobox 1
N0.HOG0009267,1251.8,10.0144,392.2,24.23796,IL17RD,interleukin 17 receptor D
N0.HOG0009269,2735,25.709,997,28.2151,TASOR,transcription activation suppressor
N0.HOG0009270,1292,34.1088,481,19.0476,CCDC66,coiled-coil domain containing 66
N0.HOG0009271,1910.5,0.95525,924.5,17.28815,ERC2,ELKS/RAB6-interacting/CAST family member 2
N0.HOG0009274,1107.9,0.99711,404.1,7.11216,ACTR8,actin related protein 8
N0.HOG0009275,328.2,3.01944,103.8,2.0241,IL17RB,interleukin 17 receptor B
N0.HOG0009276,868.8,1.99824,244.2,13.47984,CHDH,choline dehydrogenase
N0.HOG0009277,841.8,4.04064,415.2,8.13792,DCP1A,decapping mRNA 1A
N0.HOG0009278,1363.3,2.99926,364.7,23.3408,TKT,transketolase
N0.HOG0009279,1601.5,4.00375,414.5,24.1239,PRKCD,protein kinase C delta
N0.HOG0009280,737.2,5.01296,354.8,2.02236,RFT1,RFT1 homolog
N0.HOG0009281,1718.7,2.92179,711.3,15.22182,SFMBT1,Scm like with four mbt domains 1
N0.HOG0009282,1256.3,9.04536,420.7,14.43001,ITIH4,inter-alpha-trypsin inhibitor heavy chain 4
N0.HOG0009283,1966.8,21.24144,610.2,31.4253,NA,NA
N0.HOG0009284,1781.1,9.08361,522.9,21.80493,ITIH1,inter-alpha-trypsin inhibitor heavy chain 1
N0.HOG0009285,1329.2,22.19764,521.8,16.48888,NEK4,NIMA related kinase 4
N0.HOG0009286,759.5,3.038,326.5,10.2521,GLT8D1,glycosyltransferase 8 domain containing 1
N0.HOG0009287,1078.8,11.11164,415.2,9.1344,GNL3,G protein nucleolar 3
N0.HOG0009288,1030.4,2.47296,307.6,18.456,NT5DC2,5'-nucleotidase domain containing 2
N0.HOG0009289,5477.9,48.20552,1761.1,76.78396,STAB1,stabilin 1
N0.HOG0009290,2776.5,4.9977,805.5,45.108,NISCH,nischarin
N0.HOG0009292,1720.2,16.68594,568.8,33.10416,SEMA3G,semaphorin 3G
N0.HOG0009293,371.9,5.05784,147.1,2.01527,PHF7,PHD finger protein 7
N0.HOG0009295,6951.1,50.04792,1700.9,98.99238,DNAH1,dynein axonemal heavy chain 1
N0.HOG0009297,534,1.0146,240,12.552,PPM1M,"protein phosphatase, Mg2+/Mn2+ dependent 1M"
N0.HOG0009298,683.6,1.98244,210.4,8.28976,POC1A,POC1 centriolar protein A
N0.HOG0009299,720.7,39.92678,125.3,28.91924,DUSP7,dual specificity phosphatase 7
N0.HOG0009300,417.5,3.006,176.5,7.2718,ABHD14A,abhydrolase domain containing 14A
N0.HOG0009301,1189,34.481,335,11.591,PARP3,poly(ADP-ribose) polymerase family member 3
N0.HOG0009302,1112.7,3.00429,300.3,15.58557,RRP9,"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
N0.HOG0009305,251.2,2.0096,69.8,3.08516,IQCF6,IQ motif containing F6
N0.HOG0009306,1157.9,3.01054,264.1,8.23992,GRM2,glutamate metabotropic receptor 2
N0.HOG0009307,3131.8,4.07134,1266.2,39.12558,RAD54L2,RAD54 like 2
N0.HOG0009309,1046.9,3.03601,324.1,8.13491,RBM15B,RNA binding motif protein 15B
N0.HOG0009311,3389.5,5.08425,1170.5,23.41,DOCK3,dedicator of cytokinesis 3
N0.HOG0009312,666,4.995,195,11.5635,MAPKAPK3,MAPK activated protein kinase 3
N0.HOG0009313,528.9,2.00982,218.1,2.00652,CISH,cytokine inducible SH2 containing protein
N0.HOG0009314,494.6,2.02786,189.4,2.00764,HEMK1,HemK methyltransferase family member 1
N0.HOG0009315,4.7,1.18111,1.3,0.26819,C3orf18,chromosome 3 open reading frame 18
N0.HOG0009316,2297.2,3.90524,672.8,30.20872,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2
N0.HOG0009317,766.7,0.99671,283.3,4.05119,TMEM115,transmembrane protein 115
N0.HOG0009319,733.2,5.499,214.8,7.7328,NPRL2,"NPR2 like, GATOR1 complex subunit"
N0.HOG0009320,233.6,1.00448,96.4,3.06552,ZMYND10,zinc finger MYND-type containing 10
N0.HOG0009323,795.2,8.03152,254.8,7.1344,HYAL1,hyaluronidase 1
N0.HOG0009324,501.7,6.07057,209.3,5.10692,NAA80,"N-alpha-acetyltransferase 80, NatH catalytic subunit"
N0.HOG0009325,621,2.9808,240,8.256,IFRD2,interferon related developmental regulator 2
N0.HOG0009326,1443.3,26.84538,485.7,34.19328,SEMA3B,semaphorin 3B
N0.HOG0009328,983.6,62.4586,318.4,39.54528,SLC38A3,solute carrier family 38 member 3
N0.HOG0009330,1289.1,57.36495,297.9,46.38303,SEMA3F,semaphorin 3F
N0.HOG0009331,1706.4,1.02384,738.6,11.15286,RBM5,RNA binding motif protein 5
N0.HOG0009332,2094.3,7.95834,854.7,18.29058,RBM6,RNA binding motif protein 6
N0.HOG0009333,619.3,15.23478,169.7,13.86449,MON1A,"MON1 homolog A, secretory trafficking associated"
N0.HOG0009334,2486.5,28.8434,1050.5,35.61195,MST1R,macrophage stimulating 1 receptor
N0.HOG0009335,982.5,10.11975,358.5,8.13795,CAMKV,CaM kinase like vesicle associated
N0.HOG0009336,671.7,3.02265,234.3,3.02247,TRAIP,TRAF interacting protein
N0.HOG0009337,1458.6,18.67008,665.4,26.41638,UBA7,ubiquitin like modifier activating enzyme 7
N0.HOG0009338,334.8,6.09336,193.2,5.08116,INKA1,inka box actin regulator 1
N0.HOG0009339,973.7,17.23449,394.3,15.49599,CDHR4,cadherin related family member 4
N0.HOG0009341,814,0.9768,239,6.1184,GMPPB,GDP-mannose pyrophosphorylase B
N0.HOG0009342,2886.9,16.45533,941.1,33.69138,RNF123,ring finger protein 123
N0.HOG0009343,797.4,3.03012,222.6,10.32864,NA,NA
N0.HOG0009344,1163.2,5.00176,438.8,12.24252,APEH,acylaminoacyl-peptide hydrolase
N0.HOG0009345,7922.4,69.71712,3339.6,116.21808,BSN,bassoon presynaptic cytomatrix protein
N0.HOG0009346,1853.3,12.04645,801.7,20.44335,DAG1,dystroglycan 1
N0.HOG0009347,467.4,2.99136,168.6,3.0348,NICN1,nicolin 1
N0.HOG0009348,721,5.047,296,11.396,AMT,aminomethyltransferase
N0.HOG0009351,929.8,9.57694,339.2,10.78656,USP4,ubiquitin specific peptidase 4
N0.HOG0009352,527.2,9.12056,225.8,10.3868,C3orf62,chromosome 3 open reading frame 62
N0.HOG0009353,1191.3,18.22689,464.7,16.45038,IHO1,interactor of HORMAD1 1
N0.HOG0009354,272,3.0192,112,8.456,C3orf84,chromosome 3 open reading frame 84
N0.HOG0009355,363.8,1.01864,131.2,6.19264,KLHDC8B,kelch domain containing 8B
N0.HOG0009356,843.6,9.11088,416.4,5.03844,CCDC71,coiled-coil domain containing 71
N0.HOG0009357,3603.7,21.26183,1559.3,45.06377,LAMB2,laminin subunit beta 2
N0.HOG0009358,2555.3,30.40807,954.7,35.89672,USP19,ubiquitin specific peptidase 19
N0.HOG0009359,1588.4,13.34256,592.6,20.26692,QARS1,glutaminyl-tRNA synthetase 1
N0.HOG0009361,1019.8,1.0198,396.2,5.07136,IMPDH2,inosine monophosphate dehydrogenase 2
N0.HOG0009362,271.1,1.00307,109.9,1.01108,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3
N0.HOG0009363,640.9,19.41927,271.1,19.03122,DALRD3,DALR anticodon binding domain containing 3
N0.HOG0009364,2323.8,8.1333,937.2,36.17592,WDR6,WD repeat domain 6
N0.HOG0009365,776,2.0176,238,4.046,P4HTM,"prolyl 4-hydroxylase, transmembrane"
N0.HOG0009367,559.3,2.01348,217.7,5.09418,SLC25A20,solute carrier family 25 member 20
N0.HOG0009368,735.1,1.02914,305.9,5.04735,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha
N0.HOG0009370,1396.4,4.04956,442.6,12.21576,NCKIPSD,NCK interacting protein with SH3 domain
N0.HOG0009371,7077.5,30.43325,2639.5,86.31165,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3
N0.HOG0009372,1067.3,5.01631,372.7,16.69696,UQCRC1,ubiquinol-cytochrome c reductase core protein 1
N0.HOG0009373,4836.8,73.51936,2969.2,69.47928,COL7A1,collagen type VII alpha 1 chain
N0.HOG0009375,118.5,22.10025,64.5,13.1322,SHISA5,shisa family member 5
N0.HOG0009376,556,3.0024,218,6.1258,TREX1,three prime repair exonuclease 1
N0.HOG0009377,1568.2,15.05472,705.8,29.00838,ATRIP,ATR interacting protein
N0.HOG0009378,641.3,6.02822,255.7,3.01726,CCDC51,coiled-coil domain containing 51
N0.HOG0009379,4371.8,24.0449,1586.2,48.22048,PLXNB1,plexin B1
N0.HOG0009381,871.3,0.95843,283.7,4.02854,CDC25A,cell division cycle 25A
N0.HOG0009382,1360.1,29.51417,661.9,18.46701,MAP4,microtubule associated protein 4
N0.HOG0009383,2696.2,18.60378,789.8,47.94086,DHX30,DExH-box helicase 30
N0.HOG0009384,2047.9,2.0479,931.1,15.27004,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
N0.HOG0009385,491,4.0262,142,7.3414,ELP6,elongator acetyltransferase complex subunit 6
N0.HOG0009386,1993.3,7.9732,640.7,30.30511,SCAP,SREBF chaperone
N0.HOG0009387,2869.9,20.0893,1066.1,56.39669,PTPN23,protein tyrosine phosphatase non-receptor type 23
N0.HOG0009388,1323.9,9.00252,506.1,18.62448,KIF9,kinesin family member 9
N0.HOG0009389,5131.3,25.14337,2050.7,29.32501,SETD2,"SET domain containing 2, histone lysine methyltransferase"
N0.HOG0009390,4152.4,7.05908,1496.6,46.09528,NBEAL2,neurobeachin like 2
N0.HOG0009391,857.1,5.05689,258.9,8.23302,PTH1R,parathyroid hormone 1 receptor
N0.HOG0009393,2095.6,21.16556,565.4,23.91642,ALS2CL,ALS2 C-terminal like
N0.HOG0009394,665.2,2.9934,261.8,12.48786,LRRC2,leucine rich repeat containing 2
N0.HOG0009395,1410.1,13.11393,566.9,23.92318,LTF,lactotransferrin
N0.HOG0009396,484.3,1.01703,193.7,5.11368,CCR5,C-C motif chemokine receptor 5
N0.HOG0009397,712.9,0.99806,283.1,14.63627,CCR2,C-C motif chemokine receptor 2
N0.HOG0009398,717.7,4.01912,290.3,11.40879,CCR3,C-C motif chemokine receptor 3
N0.HOG0009399,780.2,2.02852,176.8,9.44112,XCR1,X-C motif chemokine receptor 1
N0.HOG0009400,2292.5,55.4785,689.5,44.61065,FYCO1,FYVE and coiled-coil domain autophagy adaptor 1
N0.HOG0009401,805.5,2.98035,259.5,14.532,CCR9,C-C motif chemokine receptor 9
N0.HOG0009403,1058.1,4.02078,375.9,11.20182,SACM1L,SAC1 like phosphatidylinositide phosphatase
N0.HOG0009404,950.9,10.07954,408.1,7.10094,LIMD1,LIM domains containing 1
N0.HOG0009405,1714.6,12.0022,691.4,26.82632,LARS2,"leucyl-tRNA synthetase 2, mitochondrial"
N0.HOG0009406,776.4,1.00932,204.6,9.37068,CDCP1,CUB domain containing protein 1
N0.HOG0009407,338.3,3.01087,57.7,3.10426,CLEC3B,C-type lectin domain family 3 member B
N0.HOG0009408,333.9,42.80598,80.1,26.1126,ZDHHC3,zinc finger DHHC-type palmitoyltransferase 3
N0.HOG0009409,458.3,3.02478,171.7,6.14686,EXOSC7,exosome component 7
N0.HOG0009413,1785.3,28.74333,689.7,32.89869,ZNF445,zinc finger protein 445
N0.HOG0009414,489.5,3.0349,194.5,2.0228,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
N0.HOG0009415,1039.6,26.40584,433.4,32.9384,ANO10,anoctamin 10
N0.HOG0009416,1318.4,3.03232,415.6,13.38232,SNRK,SNF related kinase
N0.HOG0009417,1124.5,22.37755,477.5,18.67025,GASK1A,golgi associated kinase 1A
N0.HOG0009418,1443.9,3.46536,293.1,24.06351,POMGNT2,"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"
N0.HOG0009419,337.4,4.0488,136.6,3.04618,CYP8B1,cytochrome P450 family 8 subfamily B member 1
N0.HOG0009420,1369.3,13.14528,415.7,13.34397,CCDC13,coiled-coil domain containing 13
N0.HOG0009421,681.4,4.02026,173.6,8.3328,HHATL,hedgehog acyltransferase like
N0.HOG0009422,1316.8,9.48096,237.2,14.18456,KLHL40,kelch like family member 40
N0.HOG0009424,3046,18.8852,1148,27.7816,NKTR,natural killer cell triggering receptor
N0.HOG0009426,538.3,1.99171,220.7,10.30669,SEC22C,"SEC22 homolog C, vesicle trafficking protein"
N0.HOG0009427,438.3,3.02427,119.7,6.21243,VIPR1,vasoactive intestinal peptide receptor 1
N0.HOG0009428,174.7,0.99579,32.3,4.49293,CCK,cholecystokinin
N0.HOG0009430,1620,6.966,684,19.494,CTNNB1,catenin beta 1
N0.HOG0009431,601.4,1.02238,241.6,4.05888,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
N0.HOG0009432,229.2,3.5526,85.8,2.56542,EIF1B,eukaryotic translation initiation factor 1B
N0.HOG0009433,1453.2,59.5812,373.8,38.98734,MYRIP,myosin VIIA and Rab interacting protein
N0.HOG0009435,190.1,3.0416,52.9,2.05252,SLC25A38,solute carrier family 25 member 38
N0.HOG0009436,772.3,7.02793,274.7,9.20245,CCR8,C-C motif chemokine receptor 8
N0.HOG0009437,796.5,5.01795,259.5,13.67565,CX3CR1,C-X3-C motif chemokine receptor 1
N0.HOG0009438,1045.2,47.034,364.8,52.56768,CSRNP1,cysteine and serine rich nuclear protein 1
N0.HOG0009439,2747.7,89.30025,876.3,82.10931,TTC21A,tetratricopeptide repeat domain 21A
N0.HOG0009440,509.3,4.02347,252.7,10.38597,GORASP1,golgi reassembly stacking protein 1
N0.HOG0009442,3594.4,23.00416,1589.6,29.4076,SCN11A,sodium voltage-gated channel alpha subunit 11
N0.HOG0009443,344,3.0272,124,3.0504,SCN10A,sodium voltage-gated channel alpha subunit 10
N0.HOG0009444,1546.9,6.96105,307.1,28.40675,SCN5A,sodium voltage-gated channel alpha subunit 5
N0.HOG0009446,612.6,9.12774,239.4,12.54456,XYLB,xylulokinase
N0.HOG0009447,701.3,36.81825,210.7,21.32284,OXSR1,oxidative stress responsive kinase 1
N0.HOG0009449,3662.1,74.34063,1134.9,65.25675,DLEC1,DLEC1 cilia and flagella associated protein
N0.HOG0009450,1107.7,9.52622,224.3,18.79634,PLCD1,phospholipase C delta 1
N0.HOG0009451,1770.7,22.66496,380.3,20.42211,VILL,villin like
N0.HOG0009452,1870.1,24.49831,637.9,32.08637,ITGA9,integrin subunit alpha 9
N0.HOG0009453,4457.1,37.43964,2016.9,30.45519,GOLGA4,golgin A4
N0.HOG0009454,600.4,6.06404,227.6,5.09824,LRRFIP2,LRR binding FLII interacting protein 2
N0.HOG0009455,646.3,6.01059,250.7,9.2759,MLH1,mutL homolog 1
N0.HOG0009456,814.8,28.518,313.2,20.10744,EPM2AIP1,EPM2A interacting protein 1
N0.HOG0009457,4792.3,30.19149,1363.7,60.41191,TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1
N0.HOG0009458,786.9,23.68569,236.1,23.53917,STAC,SH3 and cysteine rich domain
N0.HOG0009459,1361.1,2.04165,642.9,14.27238,PDCD6IP,programmed cell death 6 interacting protein
N0.HOG0009460,2987.7,5.07909,1209.3,23.33949,CLASP2,cytoplasmic linker associated protein 2
N0.HOG0009461,981.8,15.80698,401.2,20.14024,UBP1,upstream binding protein 1
N0.HOG0009462,514.4,0.97736,133.6,5.1436,FBXL2,F-box and leucine rich repeat protein 2
N0.HOG0009463,1190.1,37.48815,408.9,25.43358,SUSD5,sushi domain containing 5
N0.HOG0009466,763.5,17.78955,265.5,11.8944,DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1
N0.HOG0009468,1555.7,2.95583,205.3,27.26384,TRIM71,tripartite motif containing 71
N0.HOG0009470,660.6,0.9909,188.4,17.2386,GPD1L,glycerol-3-phosphate dehydrogenase 1 like
N0.HOG0009472,978.8,6.06856,374.2,9.20532,GADL1,glutamate decarboxylase like 1
N0.HOG0009475,1324.7,31.39539,469.3,20.97771,DDX43,DEAD-box helicase 43
N0.HOG0009476,325.6,9.70288,124.4,7.8372,CGAS,cyclic GMP-AMP synthase
N0.HOG0009477,1139.7,29.17632,456.3,36.41274,MTO1,mitochondrial tRNA translation optimization 1
N0.HOG0009478,585.4,0.99518,245.6,11.34672,SLC17A5,solute carrier family 17 member 5
N0.HOG0009479,4189.2,80.85156,706.8,79.09092,PPL,periplakin
N0.HOG0009480,2231.8,47.9837,891.2,44.29264,UBN1,ubinuclein 1
N0.HOG0009482,331.3,2.02093,61.7,2.04844,ROGDI,rogdi atypical leucine zipper
N0.HOG0009483,1149,4.0215,315,14.5845,ANKS3,ankyrin repeat and sterile alpha motif domain containing 3
N0.HOG0009484,312.7,1.00064,80.3,4.19166,NUDT16L1,nudix hydrolase 16 like 1
N0.HOG0009485,73.2,1.01016,10.8,2.30472,UBALD1,UBA like domain containing 1
N0.HOG0009486,1792.5,28.3215,685.5,22.69005,NA,NA
N0.HOG0009489,1012.2,1.0122,280.8,8.1432,SRL,sarcalumenin
N0.HOG0009490,2163,9.0846,762,33.2994,ADCY9,adenylate cyclase 9
N0.HOG0009491,3634.6,7.63266,1573.4,50.97816,CREBBP,CREB binding protein
N0.HOG0009492,1482,16.1538,396,31.1256,TRAP1,TNF receptor associated protein 1
N0.HOG0009493,3075.4,65.50602,1253.6,55.53448,SLX4,SLX4 structure-specific endonuclease subunit
N0.HOG0009494,892,4.014,299,7.1461,NLRC3,NLR family CARD domain containing 3
N0.HOG0009495,662.7,25.51395,246.3,13.74354,CLUAP1,clusterin associated protein 1
N0.HOG0009496,324.8,52.35776,101.2,41.90692,NAA60,"N-alpha-acetyltransferase 60, NatF catalytic subunit"
N0.HOG0009498,1010.8,4.0432,381.2,10.17804,ZNF263,zinc finger protein 263
N0.HOG0009499,747.3,8.59395,263.7,13.02678,MEFV,"MEFV innate immuity regulator, pyrin"
N0.HOG0009500,1274.8,10.07092,279.2,14.658,ZNF205,zinc finger protein 205
N0.HOG0009502,537.8,5.05532,188.2,6.15414,MMP25,matrix metallopeptidase 25
N0.HOG0009503,1104.1,24.40061,359.9,26.45265,BICDL2,BICD family like cargo adaptor 2
N0.HOG0009504,706.2,4.37844,250.8,9.93168,THOC6,THO complex 6
N0.HOG0009505,490.4,2.99144,160.6,10.56748,CLDN9,claudin 9
N0.HOG0009506,952.3,5.04719,286.7,8.19962,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1"
N0.HOG0009507,340.6,12.56814,115.4,9.32432,PAQR4,progestin and adipoQ receptor family member 4
N0.HOG0009508,915.7,12.08724,296.3,26.75589,KREMEN2,kringle containing transmembrane protein 2
N0.HOG0009509,1136,10.1104,292,21.316,FLYWCH1,FLYWCH-type zinc finger 1
N0.HOG0009510,295.8,1.00572,94.2,3.07092,FLYWCH2,FLYWCH family member 2
N0.HOG0009511,418.1,19.10717,163.9,8.81782,SRRM2,serine/arginine repetitive matrix 2
N0.HOG0009512,561.6,5.0544,230.4,6.12864,PRSS33,serine protease 33
N0.HOG0009513,236.8,2.0128,60.2,8.80726,PRSS27,serine protease 27
N0.HOG0009514,328.7,0.9861,124.3,3.04535,KCTD5,potassium channel tetramerization domain containing 5
N0.HOG0009517,1203.6,27.92352,311.4,33.35094,TBC1D24,TBC1 domain family member 24
N0.HOG0009518,697.7,17.09365,220.3,10.55237,NTN3,netrin 3
N0.HOG0009519,1724.4,19.65816,561.6,24.20496,CCNF,cyclin F
N0.HOG0009520,3239.8,33.04596,840.2,60.83048,ABCA3,ATP binding cassette subfamily A member 3
N0.HOG0009521,450.9,24.75441,143.1,5.30901,ECI1,enoyl-CoA delta isomerase 1
N0.HOG0009522,659.7,10.62117,174.3,6.69312,DNASE1L2,deoxyribonuclease 1 like 2
N0.HOG0009523,1467.7,2.9354,398.3,16.60911,E4F1,E4F transcription factor 1
N0.HOG0009524,189.5,43.5471,35.5,16.36195,PGP,phosphoglycolate phosphatase
N0.HOG0009525,360.3,5.58465,107.7,9.07911,BRICD5,BRICHOS domain containing 5
N0.HOG0009527,2086.6,6.05114,751.4,28.85376,CASKIN1,CASK interacting protein 1
N0.HOG0009528,1552.6,0.93156,364.4,18.87592,TRAF7,TNF receptor associated factor 7
N0.HOG0009529,453.2,4.03348,116.8,8.47968,RAB26,"RAB26, member RAS oncogene family"
N0.HOG0009530,3471.4,7.98422,1082.6,52.28958,TSC2,TSC complex subunit 2
N0.HOG0009531,354.4,3.0124,101.6,3.05816,NTHL1,nth like DNA glycosylase 1
N0.HOG0009532,461.8,1.01596,144.2,5.14794,SLC9A3R2,SLC9A3 regulator 2
N0.HOG0009533,1831.7,37.00034,532.3,51.57987,ZNF598,"zinc finger protein 598, E3 ubiquitin ligase"
N0.HOG0009534,476,16.422,94,13.2822,SYNGR3,synaptogyrin 3
N0.HOG0009536,504.2,8.0672,185.8,11.68682,TBL3,transducin beta like 3
N0.HOG0009537,427.6,9.66376,130.4,7.85008,RNF151,ring finger protein 151
N0.HOG0009538,397.8,1.989,112.2,6.30564,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10
N0.HOG0009539,798.8,5.991,170.2,6.14422,RPL3L,ribosomal protein L3 like
N0.HOG0009540,166.9,2.01949,46.1,2.06067,MSRB1,methionine sulfoxide reductase B1
N0.HOG0009541,336.7,2.0202,77.3,1.01263,MEIOB,meiosis specific with OB-fold
N0.HOG0009542,1521.1,16.12366,266.9,21.67228,IGFALS,insulin like growth factor binding protein acid labile subunit
N0.HOG0009543,394.5,2.01195,118.5,4.1238,NUBP2,nucleotide binding protein 2
N0.HOG0009544,673.7,8.21914,139.3,4.97301,SPSB3,splA/ryanodine receptor domain and SOCS box containing 3
N0.HOG0009545,568.3,12.72992,214.7,7.70773,EME2,essential meiotic structure-specific endonuclease subunit 2
N0.HOG0009546,460,4.002,113,7.3111,MRPS34,mitochondrial ribosomal protein S34
N0.HOG0009549,303.7,3.00663,134.3,4.09615,JPT2,Jupiter microtubule associated homolog 2
N0.HOG0009550,2238.8,14.10444,788.2,37.59714,CRAMP1,cramped chromatin regulator homolog 1
N0.HOG0009551,3148.8,20.4672,907.2,44.4528,IFT140,intraflagellar transport 140
N0.HOG0009552,363.5,1.0178,116.5,7.2929,TMEM204,transmembrane protein 204
N0.HOG0009553,1564.8,16.11744,502.2,25.16022,TELO2,telomere maintenance 2
N0.HOG0009556,4922.8,40.36696,1170.2,86.71182,CACNA1H,calcium voltage-gated channel subunit alpha1 H
N0.HOG0009557,439.5,3.03255,94.5,5.18805,SSTR5,somatostatin receptor 5
N0.HOG0009558,354,2.0178,66,4.224,LMF1,lipase maturation factor 1
N0.HOG0009560,2116.8,31.96368,715.2,34.61568,CHTF18,chromosome transmission fidelity factor 18
